Item;Axe;Direction;Temps
"Face à un problème complexe, j'aime d'abord imaginer plusieurs pistes originales avant de choisir.";creatif_analytique;pos;15
"Je préfère décomposer un problème en données précises et en tirer une conclusion logique.";creatif_analytique;neg;15
"Je pourrais facilement m'orienter vers un domaine créatif ou de conception (design, communication, arts).";creatif_analytique;pos;15
"Un métier basé sur l'analyse de données, de statistiques ou de faits m'attire plus qu'un métier créatif.";creatif_analytique;neg;15
"J'aime remettre en question les idées reçues et proposer une vision différente.";creatif_analytique;pos;15
"Je m'imagine bien dans une filière ou un métier où l'on travaille constamment en équipe (projet collectif, entreprise, ONG).";collab_autonome;pos;15
"Je me projette plutôt dans un parcours où je gère mes propres projets, à mon rythme et selon mes choix.";collab_autonome;neg;15
"Pour préparer mon avenir (université, métier), j'aime échanger avec d'autres pour construire mes idées.";collab_autonome;pos;15
"Je préfère prendre seul(e) mes grandes décisions d'orientation, sans trop dépendre des avis extérieurs.";collab_autonome;neg;15
"Je suis attiré(e) par des études longues et théoriques (recherche, université, sciences fondamentales).";theorique_applique;pos;15
"Je préfère une formation professionnalisante où j'applique vite mes compétences sur le terrain.";theorique_applique;neg;15
"Comprendre les grands principes qui expliquent le monde m'intéresse plus qu'appliquer une technique précise.";theorique_applique;pos;15
"Je m'épanouis davantage dans un métier concret et pratique que dans un poste centré sur la théorie.";theorique_applique;neg;15
"Je me vois porter la responsabilité d'un projet, d'une équipe ou d'une future entreprise.";leadership_support;pos;15
"Je préfère apporter une expertise précise au service d'un projet dirigé par quelqu'un d'autre.";leadership_support;neg;15
"Prendre la parole en public pour défendre une idée ou représenter un groupe ne m'effraie pas.";leadership_support;pos;15
"Je suis plus à l'aise dans un rôle d'exécution rigoureuse que dans un rôle de décision pour les autres.";leadership_support;neg;15
"Je m'intéresse aux métiers liés au numérique, à l'informatique ou aux nouvelles technologies pour mon avenir.";techno_manuel;pos;15
"Je me projette dans un métier manuel, technique ou artisanal (construction, mécanique, artisanat, agriculture).";techno_manuel;neg;15
"Je suis curieux(se) des innovations technologiques et de leur impact sur la société congolaise et le monde.";techno_manuel;pos;15
"Je préfère un métier où je vois concrètement le résultat de mon travail manuel plutôt qu'un écran.";techno_manuel;neg;15
"J'aimerais un jour créer quelque chose de nouveau : une entreprise, une initiative, un projet inédit.";innovation_optim;pos;15
"Je préfère rejoindre une structure existante et l'aider à mieux fonctionner plutôt que tout créer moi-même.";innovation_optim;neg;15
"Je suis prêt(e) à prendre des risques dans mon orientation pour poursuivre une voie qui me passionne vraiment.";innovation_optim;pos;15
"Je privilégie la sécurité et la stabilité d'un parcours déjà bien établi.";innovation_optim;neg;15
